EastDVD_20240202_RM_ATL01
WestDVD_20240202_V_PAC_A
3441,CA470003,  6.008,08-Jun-2020,04-Jan-2024,"Haro Strait, Boundary Pass and/et Satellite Channel"
3479,CA570567,  7.006,08-Jul-2020,19-Dec-2023,Approaches to/Approches a Sidney
3490,CA570015,  9.006,09-Sep-2021,25-Jan-2024,"Fraser River/Fleuve Fraser, Sand Heads to/a Douglas Island AB"
3602,CA370203,  6.012,13-Mar-2014,25-Jan-2024,Approaches to/Approches a Juan de Fuca Strait
WestDVD_20240202_V_PAC_B
3602,CA370203,  6.012,13-Mar-2014,25-Jan-2024,Approaches to/Approches a Juan de Fuca Strait
3668,CA470167,  6.003,23-Feb-2023,08-Jan-2024,Alberni Inlet
3670,CA570335,  5.009,03-Feb-2010,08-Jan-2024,Broken Group
3670,CA570336,  6.009,19-Jul-2012,16-Jan-2024,Broken Group
3671,CA470338,  8.007,26-Aug-2022,05-Jan-2024,Barkley Sound (Part 2 of 2)
3673,CA470333,  5.009,13-Sep-2012,10-Jan-2024,Tofino Inlet to/a Millar Channel (Part 1 of 2)
3685,CA570088,  2.004,05-Sep-2012,11-Jan-2024,Tofino
3800,CA471014,  3.000,22-Jan-2024,22-Jan-2024,"Hippa Island, Seal Inlet, Tartu Inlet, Masset Inlet"
3908,CA570626,  3.009,27-Oct-2021,20-Dec-2023,Kitimat Harbour
3945,CA570592,  2.006,06-Dec-2013,09-Jan-2024,Coghlan Anchorage
N/A ,CA271032,  3.005,07-Jun-2022,05-Jan-2024,Hecate Strait
N/A ,CA471019,  2.001,31-May-2023,17-Jan-2024,Tasu Sound
N/A ,CA471110,  2.002,24-Oct-2022,11-Jan-2024,CA471110
N/A ,CA471112,  2.002,31-Oct-2022,24-Nov-2023,CA471112
N/A ,CA471133,  1.001,13-Sep-2022,10-Jan-2024,Princess Royal Channel
N/A ,CA471134,  1.001,09-Sep-2022,10-Jan-2024,CA471134
N/A ,CA471137,  1.001,12-Sep-2022,10-Jan-2024,CA471137
N/A ,CA571073,  1.002,08-Mar-2022,14-Dec-2023,CA571073
N/A ,CA571081,  1.003,12-Apr-2022,22-Dec-2023,CA571081
